name,postcode,category,review_count,rating,price,distance,latitude,longitude
Baron Samedi,H1Y 1X9,Bars,10.0,3.0,$$,938.5862925843381,45.5457759528664,-73.56217458844185
Taormina Lounge,H8S 2N9,Bars,20.0,4.5,$$$,878.7220295011494,45.43982382100397,-73.69487822055817
Bar Aux Trois Devins,H8S 2N8,Bars,6.0,3.5,$$,912.3555980105851,45.43982382100397,-73.69487822055817
Andrea Restaurant,H8S 2P4,Wine Bars,10.0,2.0,$$$,696.5703666025639,45.43982382100397,-73.69487822055817
La Belle et La Boeuf,H1M 1W9,Sports Bars,31.0,3.5,$$,561.2130759913636,45.6027276,-73.5579303
Bâton Rouge Steakhouse & Bar,H1M 1W9,Cocktail Bars,23.0,3.5,$$$,637.4837638734431,45.6027276,-73.5579303
Industria,H1M 1W9,Bars,8.0,4.0,,521.6964223616742,45.6027276,-73.5579303
Les 3 Brasseurs,H1M 2W2,Bars,14.0,2.5,$$,688.7557829569041,45.6027276,-73.5579303
District 961,H4L 2A6,Bars,9.0,4.0,,844.3701096604099,45.502989,-73.689113
Mosaic Resto Lounge,H4M 1P1,Bars,1.0,3.0,,616.0701888589883,45.502989,-73.689113
L'Unik Resto Brasserie,H4L,Bars,1.0,5.0,$$,1280.4342682313124,45.502989,-73.689113
Le Cordon,H8R 1H1,Bars,6.0,4.0,$$,536.3030791344947,45.44606092178209,-73.65079946815968
Barroco,H2Y 2A3,Cocktail Bars,297.0,4.5,$$$,541.2565104469749,45.49716534003792,-73.55933010578154
Place Carmin,H3C 1P1,Bars,29.0,5.0,,177.4556862314291,45.49716534003792,-73.55933010578154
Holder,H2Y 2G3,Bars,369.0,4.0,$$$,402.75628296156384,45.49716534003792,-73.55933010578154
Mélisse,H3C 1N8,Wine Bars,43.0,4.5,$$,181.86510212827858,45.49716534003792,-73.55933010578154
NYK'S,H3B 2W4,Tapas Bars,185.0,4.0,$$,1140.4838418654492,45.49716534003792,-73.55933010578154
The Keg Steakhouse + Bar,H3B 2G2,Bars,310.0,4.0,$$$,887.1090419848563,45.49716534003792,-73.55933010578154
The Keg Steakhouse + Bar - Montreal,H2Y 1G2,Bars,234.0,4.0,$$$,1087.1963898917618,45.49716534003792,-73.55933010578154
Monopole,H3C 2M8,Wine Bars,21.0,5.0,$$,304.0619927682681,45.49716534003792,-73.55933010578154
Pub Saint Pierre,H2Y 2M7,Bars,101.0,4.5,$$,504.3037508240739,45.49716534003792,-73.55933010578154
Escondite,H3B 3A7,Bars,247.0,4.0,$$,932.7520666694554,45.49716534003792,-73.55933010578154
Wolf & Workman,H2Y 1Z3,Bars,114.0,4.5,$$,809.7494150355474,45.49716534003792,-73.55933010578154
Biirū,H3A 2E4,Bars,189.0,4.0,$$,1127.114061262742,45.49716534003792,-73.55933010578154
Un Po' Di Più,H2Y 0B1,Bars,60.0,4.5,,1049.2367742714866,45.49716534003792,-73.55933010578154
Tiradito,H2Z 1N1,Cocktail Bars,148.0,4.0,$$$,876.0326051642198,45.49716534003792,-73.55933010578154
Café Parvis,H3A,Bars,220.0,4.0,$$,1237.0989702288393,45.49716534003792,-73.55933010578154
Bulma Bar,H3C 1J2,Bars,13.0,4.5,,335.9053321676535,45.49716534003792,-73.55933010578154
Gokudo,H3B 0C3,Cocktail Bars,60.0,4.5,$$,970.9209034745103,45.49716534003792,-73.55933010578154
La Voûte,H2Y 2N1,Wine Bars,34.0,4.0,$$$$,566.7747324674004,45.49716534003792,-73.55933010578154
Bord'Elle Boutique Bar and Eatery,H2Y 1S1,Cocktail Bars,65.0,3.5,$$$$,528.206667443042,45.49716534003792,-73.55933010578154
Club Pelicano,H2Z 1N2,Cocktail Bars,26.0,4.5,,888.7966722971635,45.49716534003792,-73.55933010578154
Terrasse 67,H3C,Bars,2.0,3.5,,440.3232341090788,45.51366626207095,-73.53842496871948
Nouvelle Vague,H2Y 4B2,Bars,1.0,4.0,,1315.6905957783429,45.51366626207095,-73.53842496871948
Boa Vida Yacht Club,H2Y 4B2,Cocktail Bars,2.0,1.5,,1215.6851602511013,45.51366626207095,-73.53842496871948
Nawab-e Punjab,H8N 1X8,Cocktail Bars,6.0,3.5,,260.5817167578977,45.43854405099729,-73.62021625041962
Cafe Bar Altima,H8N 1Y1,Bars,1.0,3.0,$$,851.1826790808745,45.43854405099729,-73.62021625041962
Bar Station 77,H8N 1X7,Bars,1.0,1.0,,342.19119307550494,45.43854405099729,-73.62021625041962
Taormina Lounge,H8S 2N9,Bars,20.0,4.5,$$$,561.0867920593436,45.432839840726125,-73.69349151849747
Andrea Restaurant,H8S 2P4,Wine Bars,10.0,2.0,$$$,172.1573541752528,45.432839840726125,-73.69349151849747
Bar Aux Trois Devins,H8S 2N8,Bars,6.0,3.5,$$,591.6414128248591,45.432839840726125,-73.69349151849747
